date,close,diff,start,high,low,volume
2018-11-14,69500,-700,69600,71000,68700,527813
2018-11-15,70300,800,69600,70400,68900,459559
2018-11-16,71800,1500,70900,72200,70300,690404
2018-11-19,71600,-200,72200,73100,71200,637905
2018-11-20,70500,-1100,70800,71000,69600,563066
2018-11-21,69700,-800,69900,70300,69200,483426
2018-11-22,69200,-500,70500,70600,68200,561708
2018-11-23,69400,200,69500,70100,68900,290959
2018-11-26,71200,1800,69500,71600,69400,658708
2018-11-27,71800,600,71700,72300,71500,478157
2018-11-28,72400,600,72100,72700,71800,479308
2018-11-29,73800,1400,73500,74600,73400,923966
2018-11-30,72500,-1300,73800,74400,72000,768135
2018-12-03,74400,1900,74000,74500,73000,671484
2018-12-04,73200,-1200,74200,74700,73100,514998
2018-12-05,71700,-1500,72100,72600,71200,499091
2018-12-06,68600,-3100,71300,71300,68000,1054851
2018-12-07,66900,-1700,69400,69900,66700,1100511
2018-12-10,65300,-1600,66300,67400,64800,806527
2018-12-11,66700,1400,65600,67100,65500,626998
2018-12-12,67900,1200,66600,68200,65600,681318
2018-12-13,68200,300,68000,68800,67100,816888
2018-12-14,67700,-500,68300,68500,66300,517004
2018-12-17,69100,1400,67700,69200,66900,442744
2018-12-18,66900,-2200,68200,68800,66800,627414
2018-12-19,65300,-1600,66900,67500,65100,885616
2018-12-20,62600,-2700,64500,64500,61800,1670644
2018-12-21,62400,-200,62000,62900,61800,829833
2018-12-24,61800,-600,62000,62400,61200,513348
2018-12-26,61300,-500,61000,61900,60600,453037
2018-12-27,61900,600,62500,63300,61700,562848
2018-12-28,62300,400,62300,63500,62100,464747
2019-01-02,62800,500,63300,64200,62700,568844
2019-01-03,62900,100,63100,64100,62100,604561
2019-01-04,62200,-700,63000,63400,61100,602100
2019-01-07,64200,2000,63100,64700,62700,660173
2019-01-08,61900,-2300,63700,63700,61200,1338626
2019-01-09,63200,1300,61700,63700,61600,950285
2019-01-10,65600,2400,63100,66000,62700,1065551
2019-01-11,66000,400,65700,66500,65200,601380
2019-01-14,65900,-100,66000,66400,65000,401456
2019-01-15,65800,-100,65600,66500,65300,560337
2019-01-16,66500,700,66000,67600,66000,565004
2019-01-17,66100,-400,66800,67600,66000,467844
2019-01-18,67000,900,66800,67300,66300,488762
2019-01-21,66400,-600,67700,68100,65800,614764
2019-01-22,64500,-1900,66400,66900,64100,997141
2019-01-23,65200,700,64400,65700,64300,587708
2019-01-24,65200,0,65100,65800,64800,620651
2019-01-25,69500,4300,65200,69800,65200,1749374
2019-01-28,67700,-1800,69600,70200,67600,809802
2019-01-29,67400,-300,67400,67400,66200,845170
2019-01-30,67600,200,68000,68500,66800,825346
2019-01-31,66600,-1000,68100,68400,66200,903199
2019-02-01,65400,-1200,66300,66300,65200,1039069
2019-02-07,65900,500,65900,66400,65300,663706
2019-02-08,64800,-1100,65500,65700,64700,690327
2019-02-11,69300,4500,65000,69600,64900,1987125
2019-02-12,71900,2600,70300,72900,70300,2499697
2019-02-13,72100,200,72700,73900,71900,1310740
2019-02-14,72300,200,70500,73000,70500,799937
2019-02-15,72000,-300,72700,73000,71400,598744
2019-02-18,72000,0,73200,73400,71100,585460
2019-02-19,72300,300,72000,73000,71000,520978
2019-02-20,72700,400,72400,73200,72300,503913
2019-02-21,73000,300,72800,73500,72100,678067
2019-02-22,73200,200,72900,73300,72100,534335
2019-02-25,71300,-1900,73500,73600,70500,1097013
2019-02-26,70500,-800,71300,71700,70400,509895
2019-02-27,72200,1700,70500,72500,70000,782090
2019-02-28,70500,-1700,72500,72500,70400,882603
2019-03-04,71200,700,70800,71800,70800,474980
